time,cpu_utilization,workload_type,workload_intensity
75,0.0,CPU-bound,High
76,0.0,CPU-bound,High
77,0.0,CPU-bound,High
78,0.0,CPU-bound,High
79,0.0,CPU-bound,High
80,0.0,CPU-bound,High
81,0.0,CPU-bound,High
82,0.0,CPU-bound,High
83,0.0,CPU-bound,High
84,0.0,CPU-bound,High
85,0.0,CPU-bound,High
86,0.0,CPU-bound,High
87,0.0,CPU-bound,High
88,0.0,CPU-bound,High
89,0.0,CPU-bound,High
90,0.0,CPU-bound,High
91,0.0,CPU-bound,High
92,0.0,CPU-bound,High
93,0.0,CPU-bound,High
94,0.0,CPU-bound,High
95,0.0,CPU-bound,High
96,0.0,CPU-bound,High
97,0.0,CPU-bound,High
98,0.0,CPU-bound,High
99,0.0,CPU-bound,High
0,100.0,IO-bound,Low
1,50.0,IO-bound,Low
2,75.0,IO-bound,Low
3,75.0,IO-bound,Low
4,100.0,IO-bound,Low
5,100.0,IO-bound,Low
6,100.0,IO-bound,Low
7,100.0,IO-bound,Low
8,100.0,IO-bound,Low
9,100.0,IO-bound,Low
10,75.0,IO-bound,Low
11,75.0,IO-bound,Low
12,75.0,IO-bound,Low
13,75.0,IO-bound,Low
14,75.0,IO-bound,Low
15,75.0,IO-bound,Low
16,75.0,IO-bound,Low
17,75.0,IO-bound,Low
18,50.0,IO-bound,Low
19,100.0,IO-bound,Low
20,100.0,IO-bound,Low
21,75.0,IO-bound,Low
22,100.0,IO-bound,Low
23,75.0,IO-bound,Low
24,75.0,IO-bound,Low
25,75.0,IO-bound,Low
26,100.0,IO-bound,Low
27,100.0,IO-bound,Low
28,100.0,IO-bound,Low
29,100.0,IO-bound,Low
30,75.0,IO-bound,Low
31,75.0,IO-bound,Low
32,75.0,IO-bound,Low
33,100.0,IO-bound,Low
34,100.0,IO-bound,Low
35,100.0,IO-bound,Low
36,100.0,IO-bound,Low
37,100.0,IO-bound,Low
38,100.0,IO-bound,Low
39,100.0,IO-bound,Low
40,100.0,IO-bound,Low
41,100.0,IO-bound,Low
42,100.0,IO-bound,Low
43,100.0,IO-bound,Low
